,중분류,소분류,도서명,판매지수,가격,출판일,링크
377,프로그래밍 언어,파이썬,중1수학(상) 파이썬 프로그래밍 ,84,"16,000",2018년 03월,http://www.yes24.com//Product/Goods/59440152?OzSrank=378
378,프로그래밍 언어,파이썬,내가 하는 사물인터넷 프로그래밍 1 라즈베리 파이 파이썬 편,84,"18,000",2017년 03월,http://www.yes24.com//Product/Goods/37960961?OzSrank=379
379,컴퓨터 입문/활용,어린이 컴퓨터,코딩 클럽 LV4. 파이썬 프로그래밍 아트,132,"9,000",2017년 03월,http://www.yes24.com//Product/Goods/37140086?OzSrank=380
380,프로그래밍 언어,파이썬,하루에 쪼갠다 파이썬,132,"9,800",2016년 10월,http://www.yes24.com//Product/Goods/32452780?OzSrank=381
381,프로그래밍 언어,파이썬,딱 하루에 끝내는 파이썬 핵심기초,144,"12,700",2020년 08월,http://www.yes24.com//Product/Goods/92137631?OzSrank=382
382,프로그래밍 언어,파이썬,실전 파이썬 프로그래밍,60,"15,300",2020년 05월,http://www.yes24.com//Product/Goods/90397604?OzSrank=383
383,프로그래밍 언어,파이썬,토닥토닥 파이썬 기초편,72,"22,500",2014년 12월,http://www.yes24.com//Product/Goods/15418826?OzSrank=384
384,프로그래밍 언어,파이썬,파이썬 프로그램,36,"25,000",2019년 04월,http://www.yes24.com//Product/Goods/74400855?OzSrank=385
385,프로그래밍 언어,파이썬,처음 시작하는 파이썬 코딩,12,"14,400",2018년 12월,http://www.yes24.com//Product/Goods/68283531?OzSrank=386
386,공학계열,컴퓨터공학,실습을 통해 쉽게 배우는 파이썬,0,"19,000",2017년 07월,http://www.yes24.com//Product/Goods/44135465?OzSrank=387
387,공학계열,컴퓨터공학,입문에서 실무까지 완벽 정리 파이썬,12,"24,000",2018년 03월,http://www.yes24.com//Product/Goods/61270479?OzSrank=388
388,프로그래밍 언어,파이썬,컴퓨팅 사고력을 키워주는 파이썬 프로그래밍 ,12,"18,000",2018년 03월,http://www.yes24.com//Product/Goods/61261372?OzSrank=389
389,프로그래밍 언어,파이썬,파파와 파이썬 ,0,"21,600",2017년 12월,http://www.yes24.com//Product/Goods/61260649?OzSrank=390
390,프로그래밍 언어,파이썬,초간단 파이썬 입문서,72,"9,200",2018년 02월,http://www.yes24.com//Product/Goods/58667541?OzSrank=391
391,프로그래밍 언어,파이썬,25시간만에 배우는 머신러닝 예제 : 파이썬 활용,36,"15,000",2017년 02월,http://www.yes24.com//Product/Goods/37204380?OzSrank=392
392,컴퓨터 공학,컴퓨터 교육,파이썬 데이터계산 행렬수학,0,"29,000",2018년 01월,http://www.yes24.com//Product/Goods/57920708?OzSrank=393
393,프로그래밍 언어,파이썬,진짜 쉽고 쓸모 있는 언어 파이썬 ,12,"24,300",2020년 12월,http://www.yes24.com//Product/Goods/97684725?OzSrank=394
394,프로그래밍 언어,파이썬,시작북 파이썬,72,"11,000",2016년 10월,http://www.yes24.com//Product/Goods/32692605?OzSrank=395
395,프로그래밍 언어,파이썬,백박스 기반의 파이썬 2.7,12,"22,500",2020년 12월,http://www.yes24.com//Product/Goods/96581749?OzSrank=396
396,프로그래밍 언어,파이썬,파이썬 프로그래밍,36,"25,200",2016년 09월,http://www.yes24.com//Product/Goods/32280914?OzSrank=397
397,공학계열,컴퓨터공학,파이썬 프로그래밍,0,"23,000",2016년 07월,http://www.yes24.com//Product/Goods/29652084?OzSrank=398
398,프로그래밍 언어,파이썬,파이썬 기반의 natural 컴퓨팅,24,"33,000",2016년 03월,http://www.yes24.com//Product/Goods/24809982?OzSrank=399
399,프로그래밍 언어,파이썬,과학적 컴퓨팅을 위한 파이썬,0,"25,000",2020년 05월,http://www.yes24.com//Product/Goods/90179726?OzSrank=400
