,중분류,소분류,도서명,판매지수,가격,출판일,링크
210,게임,게임 개발,파이썬으로 배우는 게임 개발 실전편,"1,032","27,000",2020년 10월,http://www.yes24.com//Product/Goods/92903130?OzSrank=211
211,OS/데이터베이스,클라우드/빅데이터,직장인을 위한 실무 데이터 분석 with 엑셀,"5,592","19,800",2020년 11월,http://www.yes24.com//Product/Goods/95275924?OzSrank=212
212,컴퓨터 입문/활용,어린이 컴퓨터,파이썬으로 배우는 초중등 교과서 1,825,"16,200",2020년 08월,http://www.yes24.com//Product/Goods/91785181?OzSrank=213
213,프로그래밍 언어,파이썬,파이썬으로 배우는 데이터 과학 입문과 실습,480,"24,300",2019년 08월,http://www.yes24.com//Product/Goods/77986815?OzSrank=214
214,프로그래밍 언어,파이썬,파이썬을 이용한 수치해석,366,"35,000",2018년 02월,http://www.yes24.com//Product/Goods/58511072?OzSrank=215
215,프로그래밍 언어,파이썬,인공지능 100점을 위한 파이썬 수학,"1,656","21,600",2020년 12월,http://www.yes24.com//Product/Goods/96664844?OzSrank=216
216,프로그래밍 언어,파이썬,파이썬으로 배우는 수치 데이터 처리 ,324,"19,800",2020년 04월,http://www.yes24.com//Product/Goods/90073504?OzSrank=217
217,프로그래밍 언어,파이썬,파이썬을 활용한 스파크 프로그래밍,906,"27,000",2020년 03월,http://www.yes24.com//Product/Goods/89430174?OzSrank=218
218,프로그래밍 언어,파이썬,파이썬으로 만드는 암호화폐 자동 거래 시스템,966,"22,500",2019년 08월,http://www.yes24.com//Product/Goods/77356185?OzSrank=219
219,프로그래밍 언어,파이썬,한권으로 파이썬과 드론 날로 먹기,"1,008","16,200",2018년 04월,http://www.yes24.com//Product/Goods/60203451?OzSrank=220
220,프로그래밍 언어,파이썬,암호 해킹으로 배우는 파이썬의 기초,630,"31,500",2020년 07월,http://www.yes24.com//Product/Goods/91160086?OzSrank=221
221,공학계열,컴퓨터공학,파이썬과R,510,"14,900",2019년 07월,http://www.yes24.com//Product/Goods/76899516?OzSrank=222
222,프로그래밍 언어,파이썬,Flask 기반의 파이썬 웹 프로그래밍,684,"29,700",2020년 07월,http://www.yes24.com//Product/Goods/91766761?OzSrank=223
223,컴퓨터 공학,인공지능,"머신 러닝을 위한 수학 with 파이썬, R","1,518","21,600",2016년 05월,http://www.yes24.com//Product/Goods/27640037?OzSrank=224
224,프로그래밍 언어,파이썬,러닝 파이썬 상편,660,"34,200",2020년 08월,http://www.yes24.com//Product/Goods/91790187?OzSrank=225
225,프로그래밍 언어,파이썬,신비한 파이썬 프로젝트,684,"21,600",2018년 03월,http://www.yes24.com//Product/Goods/59286493?OzSrank=226
226,프로그래밍 언어,파이썬,러닝 파이썬 하편,672,"34,200",2020년 05월,http://www.yes24.com//Product/Goods/90198972?OzSrank=227
227,프로그래밍 언어,파이썬,빠르게 활용하는 파이썬 3.6 프로그래밍,528,"27,000",2018년 03월,http://www.yes24.com//Product/Goods/59286514?OzSrank=228
228,프로그래밍 언어,파이썬,파이썬 프로그래밍,"1,056","29,000",2017년 07월,http://www.yes24.com//Product/Goods/43751272?OzSrank=229
229,프로그래밍 언어,파이썬,파이썬 프로그래밍,174,"24,300",2019년 02월,http://www.yes24.com//Product/Goods/70374986?OzSrank=230
230,OS/데이터베이스,클라우드/빅데이터,"파이썬을 이용한 빅데이터 수집, 분석과 시각화 ",672,"21,600",2016년 03월,http://www.yes24.com//Product/Goods/24803135?OzSrank=231
231,정치/외교,정치/외교학 일반,정치학을 위한 파이썬,234,"15,000",2017년 06월,http://www.yes24.com//Product/Goods/42493295?OzSrank=232
232,프로그래밍 언어,파이썬,깐깐하게 배우는 파이썬,192,"21,600",2018년 02월,http://www.yes24.com//Product/Goods/59201187?OzSrank=233
233,프로그래밍 언어,파이썬,72시간 파이썬 정복,228,"24,000",2014년 11월,http://www.yes24.com//Product/Goods/15240210?OzSrank=234
234,프로그래밍 언어,파이썬,러닝 파이썬 세트,0,"68,400",2019년 07월,http://www.yes24.com//Product/Goods/76891961?OzSrank=235
235,프로그래밍 언어,파이썬,파이썬 프로그래밍,144,"20,000",2018년 03월,http://www.yes24.com//Product/Goods/59317494?OzSrank=236
236,OS/데이터베이스,클라우드/빅데이터,파이썬에 참 좋은 PyCharm,"1,122","20,700",2017년 02월,http://www.yes24.com//Product/Goods/36873334?OzSrank=237
237,OS/데이터베이스,클라우드/빅데이터,파이썬으로 챗봇 만들기,"1,128","18,000",2019년 10월,http://www.yes24.com//Product/Goods/80923978?OzSrank=238
238,프로그래밍 언어,파이썬,이젠 나도! 파이썬,648,"22,500",2020년 11월,http://www.yes24.com//Product/Goods/94871439?OzSrank=239
239,프로그래밍 언어,파이썬,파이썬과 수치 해석 2/e,864,"45,000",2019년 10월,http://www.yes24.com//Product/Goods/79668579?OzSrank=240
240,프로그래밍 언어,파이썬,파이썬으로 시작하는 코딩,492,"18,000",2019년 08월,http://www.yes24.com//Product/Goods/78214796?OzSrank=241
241,프로그래밍 언어,파이썬,RESTful 파이썬 웹 서비스 제작,828,"31,500",2018년 09월,http://www.yes24.com//Product/Goods/64468687?OzSrank=242
242,컴퓨터 공학,자료구조/알고리즘,이토록 쉬운 딥러닝을 위한 기초 수학 with 파이썬,990,"25,200",2017년 07월,http://www.yes24.com//Product/Goods/43845343?OzSrank=243
243,프로그래밍 언어,파이썬,자연어 처리 쿡북 with 파이썬,672,"27,000",2019년 08월,http://www.yes24.com//Product/Goods/77282770?OzSrank=244
244,프로그래밍 언어,파이썬,파이썬으로 다시 배우는 핵심 고등 수학,"1,362","22,500",2019년 01월,http://www.yes24.com//Product/Goods/68733448?OzSrank=245
245,프로그래밍 언어,파이썬,가장 쉬운 파이썬 입문교실,720,"15,300",2019년 11월,http://www.yes24.com//Product/Goods/80909273?OzSrank=246
246,프로그래밍 언어,파이썬,파이썬 자연어 처리의 이론과 실제,534,"31,500",2018년 07월,http://www.yes24.com//Product/Goods/61815208?OzSrank=247
247,컴퓨터 수험서,신규자격증/기타,COS Pro 2급 파이썬 시험 대비서(교재+모의고사),"1,350","16,200",2018년 06월,http://www.yes24.com//Product/Goods/61511014?OzSrank=248
248,3-4학년,3-4학년 학습,파이썬아 반가워!,774,"12,420",2018년 02월,http://www.yes24.com//Product/Goods/58670446?OzSrank=249
249,프로그래밍 언어,파이썬,파이썬을 이용한 실전 프로그래밍,567,"35,000",2018년 08월,http://www.yes24.com//Product/Goods/64087050?OzSrank=250
250,프로그래밍 언어,파이썬,파이썬과 NumPy로 배우는 선형대수,"1,806","23,400",2019년 04월,http://www.yes24.com//Product/Goods/71993469?OzSrank=251
251,프로그래밍 언어,파이썬,파이썬으로 배우는 응용 텍스트 분석,"1,032","24,300",2019년 09월,http://www.yes24.com//Product/Goods/78896144?OzSrank=252
252,프로그래밍 언어,파이썬,파이썬 병렬 프로그래밍,366,"12,600",2019년 11월,http://www.yes24.com//Product/Goods/83536010?OzSrank=253
253,OS/데이터베이스,클라우드/빅데이터,"머신 러닝을 다루는 기술 with 파이썬, 사이킷런",972,"30,600",2016년 11월,http://www.yes24.com//Product/Goods/32946076?OzSrank=254
254,컴퓨터 입문/활용,어린이 컴퓨터,코딩 클럽 LV1. 모두를 위한 파이썬 기초 ,384,"9,000",2020년 06월,http://www.yes24.com//Product/Goods/90706572?OzSrank=255
255,프로그래밍 언어,파이썬,10대를 위한 파이썬 교과서,432,"19,800",2015년 09월,http://www.yes24.com//Product/Goods/20052349?OzSrank=256
256,프로그래밍 언어,파이썬,차근차근 파이썬 코딩 실습 (연구활용 대기과학편),"1,179","22,500",2020년 01월,http://www.yes24.com//Product/Goods/85961001?OzSrank=257
257,컴퓨터 공학,컴퓨터 교육,초등 교과수학코딩 with 파이썬,270,"15,700",2020년 07월,http://www.yes24.com//Product/Goods/91742752?OzSrank=258
258,투자/재테크,주식/증권,ELS 평가를 위한 몬테카를로 시뮬레이션과 유한차분법 : 파이썬 활용,186,"19,000",2019년 05월,http://www.yes24.com//Product/Goods/74260204?OzSrank=259
259,컴퓨터 공학,컴퓨터 교육,파이썬과 피지컬 컴퓨팅,"1,590","14,000",2019년 11월,http://www.yes24.com//Product/Goods/80853210?OzSrank=260
260,프로그래밍 언어,파이썬,파이썬을 이용한 컴퓨터 과학 입문,324,"43,200",2020년 08월,http://www.yes24.com//Product/Goods/92080328?OzSrank=261
261,컴퓨터 입문/활용,어린이 컴퓨터,파이썬으로 배우는 초중등 교과서 2,342,"16,200",2019년 12월,http://www.yes24.com//Product/Goods/85111306?OzSrank=262
262,프로그래밍 언어,파이썬,파이썬과 파이게임,222,"28,000",2019년 08월,http://www.yes24.com//Product/Goods/77986838?OzSrank=263
263,프로그래밍 언어,파이썬,고전 컴퓨터 알고리즘 인 파이썬,660,"22,500",2020년 02월,http://www.yes24.com//Product/Goods/91116215?OzSrank=264
264,프로그래밍 언어,파이썬,파이썬 실무 프로그래밍,564,"40,500",2019년 12월,http://www.yes24.com//Product/Goods/83532292?OzSrank=265
265,프로그래밍 언어,파이썬,한권으로 개발자가 원하던 파이썬 심화 A to Z,540,"28,800",2017년 03월,http://www.yes24.com//Product/Goods/38001954?OzSrank=266
266,프로그래밍 언어,파이썬,한권으로 파이썬 데이터 사이언스 입문 AtoZ,"1,110","26,100",2019년 11월,http://www.yes24.com//Product/Goods/84183174?OzSrank=267
267,OS/데이터베이스,클라우드/빅데이터,파이썬을 활용한 생명정보학 2/e,846,"32,400",2020년 01월,http://www.yes24.com//Product/Goods/85477574?OzSrank=268
268,프로그래밍 언어,파이썬,퀀트 전략 파이썬으로 세워라,"1,638","21,600",2019년 12월,http://www.yes24.com//Product/Goods/84938746?OzSrank=269
269,프로그래밍 언어,파이썬,처음 시작하는 파이썬 프로그래밍,288,"16,200",2019년 04월,http://www.yes24.com//Product/Goods/72157780?OzSrank=270
270,프로그래밍 언어,파이썬,헬로! 파이썬 프로그래밍,276,"24,300",2018년 03월,http://www.yes24.com//Product/Goods/59415521?OzSrank=271
271,프로그래밍 언어,파이썬,파이썬 예제와 함께하는 강화학습,252,"22,000",2015년 09월,http://www.yes24.com//Product/Goods/20104204?OzSrank=272
272,프로그래밍 언어,파이썬,알기 쉬운 파이썬 SQL 코딩하기,192,"13,500",2019년 06월,http://www.yes24.com//Product/Goods/77254784?OzSrank=273
273,프로그래밍 언어,파이썬,국가대표 파이썬 첫걸음,144,"21,420",2020년 03월,http://www.yes24.com//Product/Goods/89469136?OzSrank=274
274,프로그래밍 언어,파이썬,파이썬,108,"33,250",2018년 07월,http://www.yes24.com//Product/Goods/62157627?OzSrank=275
275,OS/데이터베이스,클라우드/빅데이터,실전 알고리즘 트레이딩 배우기 ,"1,386","31,500",2018년 03월,http://www.yes24.com//Product/Goods/59190151?OzSrank=276
276,프로그래밍 언어,파이썬,파이썬을 활용한 네트워크 프로그래밍,204,"27,000",2021년 02월,http://www.yes24.com//Product/Goods/97583384?OzSrank=277
277,프로그래밍 언어,파이썬,퍼즐로 배우는 알고리즘 with 파이썬,462,"18,000",2015년 01월,http://www.yes24.com//Product/Goods/15852554?OzSrank=278
278,프로그래밍 언어,파이썬,파이썬을 이용한 데이터 분석 2/e,192,"27,000",2019년 09월,http://www.yes24.com//Product/Goods/78567028?OzSrank=279
