,중분류,소분류,도서명,판매지수,가격,출판일,링크
1550,OS/데이터베이스,클라우드/빅데이터,초보자를 위한 SQL 200제 (PL/SQL),"3,936","22,500",유연수 저 | 정보문화사 | 2020년 05월,http://www.yes24.com/Product/Goods/90226600
1551,네트워크/해킹/보안,보안/해킹,입문자를 위한 컴퓨터 보안,900,"13,500","배성일,김수한,임을규 저 | 북랩 | 2020년 04월",http://www.yes24.com/Product/Goods/90119244
1552,프로그래밍 언어,자바,배워서 바로 쓰는 스프링 프레임워크,"3,540","45,000","애시시 사린,제이 샤르마 저/오현석 역 | 한빛미디어 | 2020년 05월",http://www.yes24.com/Product/Goods/90051375
1553,컴퓨터 입문/활용,어린이 컴퓨터,이기적 SW코딩자격 2급 스크래치,"1,788","16,200","최경희,이민경 저 | 영진닷컴 | 2020년 04월",http://www.yes24.com/Product/Goods/89988058
1554,그래픽/디자인/멀티미디어,인디자인,인디자인 북디자인,"2,670","20,250",김효선 저 | 아로새글북스 | 2020년 04월,http://www.yes24.com/Product/Goods/89907127
1555,게임,게임 개발,유니티짱 툰 쉐이더 2.0 슈퍼 테크닉,"2,742","35,100","ntny,우라카미 마사키,마에지마,아인츠,폰데로,고바야시 노부유키 저/김정현 역 | 비엘북스 | 2020년 04월",http://www.yes24.com/Product/Goods/89905654
1556,컴퓨터 공학,데이터베이스 일반,핵심 데이터 모델링,"2,376","25,650",유동오 저 | 디비안(DBian) | 2020년 04월,http://www.yes24.com/Product/Goods/89872186
1557,OS/데이터베이스,클라우드/빅데이터,Microsoft Power BI 기본+활용 (2nd Edition),"4,476","21,600","정홍주,송윤희 저 | 시대인 | 2020년 04월",http://www.yes24.com/Product/Goods/89846982
1558,컴퓨터 공학,전산수학(SPSS/MATLAB),딥러닝을 위한 수학,"3,630","22,500",아카이시 마사노리 저/신상재 역 | 위키북스 | 2020년 03월,http://www.yes24.com/Product/Goods/89609761
1559,네트워크/해킹/보안,네트워크 일반,Nginx HTTP 서버,"4,878","31,500","끌레망 네델꾸 저/박성철,구인본 역 | 에이콘출판사 | 2020년 03월",http://www.yes24.com/Product/Goods/89607082
1560,그래픽/디자인/멀티미디어,캐릭터/애니메이션,3D 캐릭터모델링의 정석,"1,926","31,500","Chris Legaspi,3D Total Publishing 저/김홍 역 | 비엘북스 | 2020년 03월",http://www.yes24.com/Product/Goods/89595456
1561,프로그래밍 언어,프로그래밍 언어 기타,Go 풀스택 웹 개발,"3,024","27,000",미나 안드라오스 저/이우현 역 | 에이콘출판사 | 2020년 03월,http://www.yes24.com/Product/Goods/89576922
1562,모바일/태블릿/SNS,아이패드,똥손 탈출 100일 100 드로잉,"11,502","16,200",정진호 저 | 제이펍 | 2020년 03월,http://www.yes24.com/Product/Goods/89564640
1563,그래픽/디자인/멀티미디어,그래픽일반/자료집,안녕! 인터랙티브 미디어아트,"1,182","31,500",이재민 저 | 인사이트(insight) | 2020년 03월,http://www.yes24.com/Product/Goods/89564357
1564,그래픽/디자인/멀티미디어,그래픽일반/자료집,"책으로 예습하고, YouTube로 복습하는 스케치업 베이직","1,920","20,700",이지환 저 | 대가 | 2020년 03월,http://www.yes24.com/Product/Goods/89555172
1565,컴퓨터 입문/활용,어른을 위한 컴퓨터,4차 산업혁명 시대 가장먼저 배우고 익혀야 할 스마트폰 활용,"1,794","15,300","이종구,이정화,여원식,문창배 저 | 에스엔에스소통연구소 | 2020년 03월",http://www.yes24.com/Product/Goods/89498416
1566,컴퓨터 공학,소프트웨어 공학,UI 테스트 자동화,"2,079","23,400",김환성 저 | 남가람북스 | 2020년 03월,http://www.yes24.com/Product/Goods/89431438
1567,오피스 활용,한글,한글2016으로 떠나는 쥐라기 탐험,"1,212","10,800",KIE 기획연구실 저 | 아카데미소프트 | 2020년 02월,http://www.yes24.com/Product/Goods/89430209
1568,프로그래밍 언어,프로그래밍 언어 기타,Head First Go,"3,462","32,400",제이 맥가브렌 저/권민재 역 | 한빛미디어 | 2020년 03월,http://www.yes24.com/Product/Goods/89342507
1569,프로그래밍 언어,파이썬,실무자를 위한 파이썬 Python 100제,"4,656","18,000",오승환 저 | 정보문화사 | 2020년 02월,http://www.yes24.com/Product/Goods/89342359
1570,그래픽/디자인/멀티미디어,AUTOCAD,AutoCAD 2017 쉽게 배우기,498,"30,000","배연수,김연규,편용국,임상규,이경영 저 | 문운당 | 2020년 02월",http://www.yes24.com/Product/Goods/89240476
1571,네트워크/해킹/보안,보안/해킹,bash를 활용한 사이버 보안 운영,"1,950","25,200","폴 트론코네,칼 앨빙 저/류광 역 | 한빛미디어 | 2020년 03월",http://www.yes24.com/Product/Goods/89175653
1572,컴퓨터 공학,개발방법론,테스트 주도 개발 시작하기,"1,542","18,000",최범균 저 | 가메출판사 | 2020년 02월,http://www.yes24.com/Product/Goods/89145195
1573,OS/데이터베이스,클라우드/빅데이터,딥러닝으로 걷는 시계열 예측,"3,000","21,600",윤영선 저 | 비제이퍼블릭(BJ퍼블릭) | 2020년 02월,http://www.yes24.com/Product/Goods/89019624
1574,그래픽/디자인/멀티미디어,그래픽일반/자료집,ZBrush와 3D프린터,"2,346","31,500","(주)비에이치쓰리디조형학원,권세은,송주현,권다인,이진형 저 | 시옷 | 2020년 01월",http://www.yes24.com/Product/Goods/86893207
1575,인터넷 비즈니스,쇼핑몰/창업,쇼핑몰 창업 Q&A 121,"2,010","19,800",김경은(단아쌤) 저 | 영진닷컴 | 2020년 01월,http://www.yes24.com/Product/Goods/86667120
1576,컴퓨터 입문/활용,어른을 위한 컴퓨터,엑셀 기초,"2,070","9,900",(주)지아이에듀테크 저 | 아이콕스(iCox) | 2020년 01월,http://www.yes24.com/Product/Goods/86006680
1577,마케팅/세일즈,인터넷 마케팅,사물인터넷과 철학,294,"27,000",이원찬 저 | 넥스터드 | 2019년 12월,http://www.yes24.com/Product/Goods/85435066
1578,오피스 활용,프레젠테이션,든든한 PowerPoint 2016,312,"21,000","조점란,이유정 저 | 연두에디션 | 2019년 11월",http://www.yes24.com/Product/Goods/85382677
1579,웹사이트,HTML/JavaScript/CSS/jQuery,자바스크립트 코딩의 기술,"3,846","21,600",조 모건 저/곽현철 역 | 길벗 | 2019년 12월,http://www.yes24.com/Product/Goods/85019231
1580,프로그래밍 언어,자바,자바 트러블슈팅,"1,548","25,200",이상민 저 | 제이펍 | 2019년 12월,http://www.yes24.com/Product/Goods/84937877
1581,오피스 활용,MS Excel(엑셀),엑셀 2016 기초,"1,008","9,000",장경숙 저 | 시대인 | 2019년 12월,http://www.yes24.com/Product/Goods/84809084
1582,컴퓨터 공학,컴퓨터 교육,비버챌린지 2019년도 기출문제집(중고등학생용),"3,180","9,500",Bebras Korea 저 | 생능출판사 | 2019년 12월,http://www.yes24.com/Product/Goods/84791109
1583,인터넷 비즈니스,인터넷 마케팅,디지털 마케팅과 페이스북 광고,"3,102","13,500",이민규 저 | 디지털북스 | 2019년 12월,http://www.yes24.com/Product/Goods/84782785
1584,그래픽/디자인/멀티미디어,일러스트레이터,최적합 국제인증자격증 ACA 일러스트레이터 CC,"1,416","14,400","이정미,엄은영 저 | 성안당 | 2020년 01월",http://www.yes24.com/Product/Goods/84769027
1585,네트워크/해킹/보안,보안/해킹,윈도우 시스템 해킹 가이드 버그헌팅과 익스플로잇,"1,320","36,000",김현민 역 | secu BOOK | 2019년 12월,http://www.yes24.com/Product/Goods/84767639
1586,오피스 활용,MS Excel(엑셀),엑셀 2016,"1,068","10,800",박정연 저 | REXmedia(렉스미디어) | 2019년 12월,http://www.yes24.com/Product/Goods/82958564
1587,네트워크/해킹/보안,보안/해킹,IT정보보안 전문가가 되는 길,"1,104","14,100",원동인 저 | BOOKK(부크크) | 2019년 11월,http://www.yes24.com/Product/Goods/82892594
1588,컴퓨터 공학,인공지능,기초부터 시작하는 강화학습/신경망 알고리즘,942,"24,300",손민규 저 | 위키북스 | 2019년 11월,http://www.yes24.com/Product/Goods/82590018
1589,경영,경영전략/경영혁신,스마트팩토리로 경영하라,"2,142","16,200",최두환 저 | 허클베리북스 | 2019년 11월,http://www.yes24.com/Product/Goods/82141856
1590,컴퓨터 공학,컴퓨터 교육,비버챌린지 2: 비버챌린지로 배우는 정보과학(고등학생용),"1,398","14,250",Bebras Korea 저 | 생능출판사 | 2019년 10월,http://www.yes24.com/Product/Goods/80776160
1591,OS/데이터베이스,클라우드/빅데이터,데이터 전처리 대전,"1,212","27,000",모토하시 도모미쓰 저/윤준 역 | 한빛미디어 | 2019년 11월,http://www.yes24.com/Product/Goods/80771725
1592,프로그래밍 언어,C++,C++가 보이는 그림책,924,"15,300","ANK Co., Ltd. 저 | 성안당 | 2019년 10월",http://www.yes24.com/Product/Goods/80486334
1593,모바일/태블릿/SNS,유튜브,오렌지노의 영상 편집을 위한 유튜브 배경음악,"2,928","16,200",이진호 저 | 제이펍 | 2019년 10월,http://www.yes24.com/Product/Goods/80122961
1594,웹사이트,웹디자인,까칠한 조땡의 파워포인트 디자인,"7,812","17,100",조현석 저 | 애드앤미디어 | 2019년 10월,http://www.yes24.com/Product/Goods/79899782
1595,프로그래밍 언어,파이썬,파이썬을 활용한 딥러닝 전이학습,"1,656","27,000","타모그나 고시,러그허브 발리,디파니안 사르카르 저/고재선,한수미,심상진,송영숙 역 | 위키북스 | 2019년 10월",http://www.yes24.com/Product/Goods/79659977
1596,프로그래밍 언어,파이썬,다이내믹 프로그래밍 완전 정복,"1,284","16,200","미나크시,카말 라와트 저/박상은 역 | 한빛미디어 | 2019년 10월",http://www.yes24.com/Product/Goods/79257722
1597,프로그래밍 언어,프로그래밍 언어 기타,스위프트 프로그래밍 ,"4,338","28,800",야곰 저 | 한빛미디어 | 2019년 10월,http://www.yes24.com/Product/Goods/78907450
1598,컴퓨터 공학,개발방법론,나는 LINE 개발자입니다,"1,824","14,400","강윤신,김영환,김재석,김정엽,김택주,노승헌,박민우,배권한,이서연,이승진 저 외 2명 정보 더 보기/감추기
| 한빛미디어 | 2019년 09월",http://www.yes24.com/Product/Goods/78226025
1599,오피스 활용,MS Excel(엑셀),초보 직장인을 위한 엑셀&파워포인트&워드&아웃룩&원노트,"3,000","16,200",장경호 저 | 영진닷컴 | 2019년 09월,http://www.yes24.com/Product/Goods/78216895
1600,3-4학년,3-4학년 학습,파이썬으로 무인도 탈출하기,"2,598","12,600","박정호,안해민,박찬솔 저/구덕회 감수 | 생능출판사 | 2019년 08월",http://www.yes24.com/Product/Goods/78215635
1601,OS/데이터베이스,클라우드/빅데이터,MySQL과 모바일 웹으로 만나는 데이터베이스의 정석,732,"19,000",박성진 저 | 배움터 | 2019년 08월,http://www.yes24.com/Product/Goods/78171272
1602,오피스 활용,프레젠테이션,칼퇴를 부르는 파워포인트 실무 테크닉 105,"2,316","17,820",이희정 저 | 제이펍 | 2019년 08월,http://www.yes24.com/Product/Goods/78101428
1603,컴퓨터 입문/활용,어린이 컴퓨터,파이썬으로 배우는 초중등 교과서 1,825,"16,200",김정욱 저 | 루비페이퍼 | 2019년 08월,http://www.yes24.com/Product/Goods/77986815
1604,그래픽/디자인/멀티미디어,그래픽툴/저작툴 기타,주얼리 디자인을 위한 Rhino3D 6 Reality,600,"28,800",이행종 저 | 디지털북스 | 2019년 08월,http://www.yes24.com/Product/Goods/77709613
1605,그래픽/디자인/멀티미디어,3DS/MAX,CATIA V5-3D 실기 실무,660,"27,000","이영숙,박종건 저 | 예문사 | 2019년 08월",http://www.yes24.com/Product/Goods/77221436
1606,그래픽/디자인/멀티미디어,라이트룸,맛있는 디자인 라이트룸 CC,"1,758","21,600",김주원 저 | 한빛미디어 | 2019년 08월,http://www.yes24.com/Product/Goods/77097425
1607,컴퓨터 공학,소프트웨어 공학,실무자 관점에서 다룬 마이크로서비스 아키텍처 2/e,546,"31,500",에버하르트 볼프 저/김용환 역 | 에이콘출판사 | 2019년 07월,http://www.yes24.com/Product/Goods/76655775
1608,웹사이트,UI/UX,이토록 쉬운 스케치,"1,464","25,200",서한교 저 | 루비페이퍼 | 2019년 07월,http://www.yes24.com/Product/Goods/76485550
1609,모바일 프로그래밍,#분철,Kafka Streams in Action,"1,704","27,000","윌리엄 베젝 저/최중연,이재익 역 | 에이콘출판사 | 2019년 07월",http://www.yes24.com/Product/Goods/75230156
1610,프로그래밍 언어,자바,자바와 JUnit을 활용한 실용주의 단위 테스트 ,"3,216","23,400","데이브 토마스,앤디 헌트,제프 랭어 저/유동환 역 | 길벗 | 2019년 07월",http://www.yes24.com/Product/Goods/75189146
1611,1-2학년,1-2학년 학습,마인크래프트 건축 가이드 테마파크,"1,896","9,000",Mojang AB 저/이주안 역 | 영진닷컴 | 2019년 06월,http://www.yes24.com/Product/Goods/74971741
1612,프로그래밍 언어,C++,C++ 최적화,"2,664","34,200",커트 건서로스 저/옥찬호 역/박수현 감수 | 한빛미디어 | 2019년 07월,http://www.yes24.com/Product/Goods/74971458
1613,그래픽/디자인/멀티미디어,3DS/MAX,OpenGL ES를 이용한 3차원 컴퓨터 그래픽스 입문,840,"35,000",한정현 저 | 홍릉과학출판사 | 2019년 05월,http://www.yes24.com/Product/Goods/74769686
1614,게임,게임 개발,언리얼 엔진 4 마스터,"1,464","31,500","무함마드 압둘 모님 저/권혁이,오은진 역 | 에이콘출판사 | 2019년 06월",http://www.yes24.com/Product/Goods/74407753
1615,OS/데이터베이스,윈도우,예제로 배우는 Windows API 프로그래밍,696,"27,000",김동근 저 | 가메출판사 | 2019년 06월,http://www.yes24.com/Product/Goods/74275337
1616,프로그래밍 언어,프로그래밍 언어 기타,R로 배우는 텍스트 마이닝,"1,080","18,000","줄리아 실기,데이비드 로빈슨 저/박진수 역 | 제이펍 | 2019년 06월",http://www.yes24.com/Product/Goods/73782813
1617,미술,회화,웹툰포스,"1,845","13,320",애니포스 저 | 아이콕스(iCox) | 2019년 05월,http://www.yes24.com/Product/Goods/73728395
1618,오피스 활용,프레젠테이션,회사 실무에 힘을 주는 파워포인트 2019,570,"16,200",김은정 저 | 정보문화사 | 2019년 05월,http://www.yes24.com/Product/Goods/72353268
1619,OS/데이터베이스,시스템관리/서버,경영 빅데이터 분석사 2급 단기완성,600,"19,800",김경태 편저 | 시대고시기획 시대교육 | 2019년 06월,http://www.yes24.com/Product/Goods/72349717
1620,프로그래밍 언어,자바,알고리즘 트레이닝 : 프로그래밍 대회 입문 가이드,"3,240","22,500","안티 라크소넨 저/조승현,김진현 역 | 인사이트(insight) | 2019년 05월",http://www.yes24.com/Product/Goods/72274740
1621,OS/데이터베이스,시스템관리/서버,IT 운용 체제 변화를 위한 데브옵스 DevOps,"3,270","25,200","카와무라 세이고,기타노 타로오,나카야마 타카히로,구사카베 타카아키 저/양성건 역 | 영진닷컴 | 2019년 05월",http://www.yes24.com/Product/Goods/72260767
1622,프로그래밍 언어,파이썬,파이썬으로 배우는 블록체인 구조와 이론,"2,022","24,300","조성현,이광성,박혜리 저 | 위키북스 | 2019년 05월",http://www.yes24.com/Product/Goods/72227615
1623,프로그래밍 언어,자바,RxJava 리액티브 프로그래밍,"2,046","27,000",스다 토모유키 저/이승룡 역 | 길벗 | 2019년 04월,http://www.yes24.com/Product/Goods/71768642
1624,네트워크/해킹/보안,보안/해킹,파이썬으로 웹 크롤러 만들기,"3,930","22,500",라이언 미첼 저/한선용 역 | 한빛미디어 | 2019년 03월,http://www.yes24.com/Product/Goods/71047040
1625,공학계열,컴퓨터공학,데이터구조 에센스,330,"29,000",이형원 저 | 21세기사 | 2019년 02월,http://www.yes24.com/Product/Goods/70773843
1626,OS/데이터베이스,클라우드/빅데이터,파워 오브 데이터베이스,"1,920","27,000","마이클 J. 헤르난데즈 저/송현호,황규용 역 | 비제이퍼블릭(BJ퍼블릭) | 2019년 03월",http://www.yes24.com/Product/Goods/69775589
1627,그래픽/디자인/멀티미디어,멀티미디어/컴퓨터 음악/영상,시작하세요!  Final Cut Pro X 10.4,"3,522","30,600",박경인 저 | 위키북스 | 2019년 02월,http://www.yes24.com/Product/Goods/69750262
1628,컴퓨터 공학,소프트웨어 공학,PMP PRIDE 해설서 (PMBOK 6th),"2,682","37,800",PMP홀릭 저 | 프리렉 | 2019년 01월,http://www.yes24.com/Product/Goods/69053364
1629,OS/데이터베이스,클라우드/빅데이터,R 데이터 분석,"1,260","22,500",조민호 저 | 정보문화사 | 2019년 01월,http://www.yes24.com/Product/Goods/68827677
1630,네트워크/해킹/보안,보안/해킹,Spring Security 3/e ,810,"36,000","피터 뮬라리엔,로버트 윈치,믹 넛슨 저/김지연 역 | 에이콘출판사 | 2019년 01월",http://www.yes24.com/Product/Goods/68812084
1631,오피스 활용,MS Excel(엑셀),Job 준비를 위한 Excel+PowerPoint 2016,468,"28,000","김양희,권순홍 저 | 북스홀릭퍼블리싱 | 2019년 01월",http://www.yes24.com/Product/Goods/68211296
1632,오피스 활용,MS PowerPoint(파워포인트),Job 준비를 위한 PowerPoint 2016,786,"13,000","김양희,권순홍 저 | 북스홀릭퍼블리싱 | 2019년 01월",http://www.yes24.com/Product/Goods/68211252
1633,컴퓨터 공학,자료구조/알고리즘,"피처 엔지니어링, 제대로 시작하기","1,050","22,500","앨리스 젱,아만다 카사리 저/김우현 역 | 에이콘출판사 | 2018년 12월",http://www.yes24.com/Product/Goods/67472798
1634,컴퓨터 공학,자료구조/알고리즘,PyTorch를 활용한 강화학습/심층강화학습 실전 입문,"1,422","22,500",오가와 유타로 저/심효섭 역 | 위키북스 | 2018년 12월,http://www.yes24.com/Product/Goods/67439369
1635,인터넷 비즈니스,쇼핑몰/창업,글로벌셀러 창업&운영하기,"2,436","27,000",안영신 저 | 휴먼하우스 | 2018년 12월,http://www.yes24.com/Product/Goods/67336724
1636,프로그래밍 언어,파이썬,파이썬과 OpenCV를 이용한 컴퓨터 비전 학습,"1,248","31,500","알렉세이 스피쉐보이,알렉산드르 류브니코프 저/테크 트랜스 그룹 T4 역 | 에이콘출판사 | 2018년 11월",http://www.yes24.com/Product/Goods/67022158
1637,OS/데이터베이스,클라우드/빅데이터,IT 트렌드 스페셜 리포트 2019,426,"16,020","김석기,김승열,박재호,김진영,금동우 저 | 한빛미디어 | 2018년 11월",http://www.yes24.com/Product/Goods/66143534
1638,OS/데이터베이스,클라우드/빅데이터,파이썬을 이용한 빅데이터 분석,498,"25,000","유성준,구영현,정원희,박철호,윤학림,정다운,이여진 공저 | 21세기사 | 2018년 10월",http://www.yes24.com/Product/Goods/65490086
1639,그래픽/디자인/멀티미디어,라이트룸,어도비 포토샵 라이트룸 클래식 CC,870,"25,200",스콧 켈비 저/홍성희 역 | 정보문화사 | 2018년 10월,http://www.yes24.com/Product/Goods/65418922
1640,프로그래밍 언어,C,C가 보이는 그림책,498,"17,000","ANK Co., Ltd. 저/김성훈,김필호 역/이향선 감수 | 성안당 | 2018년 10월",http://www.yes24.com/Product/Goods/65126119
1641,경영,경영전략/경영혁신,디자인 씽킹 플레이북,"1,851","19,800","마이클 루릭,패트릭 링크,래리 라이퍼 저/강예진,이광훈 역 | 프리렉 | 2018년 10월",http://www.yes24.com/Product/Goods/64736532
1642,대중음악,악기/악보,나의꿈 나의미디 Cakewalk by Bandlab ,"1,200","36,000",박운영 저 | 예진미디어 | 2018년 09월,http://www.yes24.com/Product/Goods/64572348
1643,게임,게임가이드북/화보집,로블록스 캐릭터 대백과,"1,842","19,800","ROBLOX 저/추성호,Feleloua,한주,성진,감나무님 역 | 영진닷컴 | 2018년 10월",http://www.yes24.com/Product/Goods/64444390
1644,그래픽/디자인/멀티미디어,그래픽툴/저작툴 기타,서브스턴스 디자이너 시작하기,978,"29,700",안원철 저 | 비엘북스 | 2018년 09월,http://www.yes24.com/Product/Goods/64372727
1645,OS/데이터베이스,시스템관리/서버,OS가 보이는 그림책,"1,086","15,300","ANK Co., Ltd. 저/이영란 역 | 성안당 | 2020년 07월",http://www.yes24.com/Product/Goods/64371558
1646,OS/데이터베이스,클라우드/빅데이터,머신러닝 탐구생활,"1,704","24,300",정권우 저 | 비제이퍼블릭(BJ퍼블릭) | 2018년 08월,http://www.yes24.com/Product/Goods/63830327
1647,게임,게임 개발,실전 게임 기초 AI 프로그래밍,636,"27,000",미카엘 다그라사 저/금기진 역 | 에이콘출판사 | 2018년 08월,http://www.yes24.com/Product/Goods/63806536
1648,그래픽/디자인/멀티미디어,포토샵,SNS 마케팅 디자인 무작정 따라하기,"2,694","14,400","신희정,신은정 저 | 길벗 | 2018년 08월",http://www.yes24.com/Product/Goods/63706000
1649,게임,게임가이드북/화보집,마인크래프트 PVP 미니게임 가이드,"3,942","10,800",Mojang AB 저 | 영진닷컴 | 2018년 08월,http://www.yes24.com/Product/Goods/62798111
1650,네트워크/해킹/보안,보안/해킹,처음 배우는 암호화 ,"1,680","26,100",장필리프 오마송 저/류광 역 | 한빛미디어 | 2018년 07월,http://www.yes24.com/Product/Goods/62160937
1651,프로그래밍 언어,프로그래밍 교육,SW 코딩자격 3급 : 엔트리,726,"14,400","이영수,강명재 공저 | REXmedia(렉스미디어) | 2018년 07월",http://www.yes24.com/Product/Goods/62096802
1652,컴퓨터 공학,자료구조/알고리즘,누구나 자료 구조와 알고리즘,"1,401","14,400",제이 웬그로우 저/심지현 역 | 길벗 | 2018년 06월,http://www.yes24.com/Product/Goods/61941073
1653,프로그래밍 언어,자바,든든한 Java Programming,906,"24,000",심재연 저 | 연두에디션 | 2018년 06월,http://www.yes24.com/Product/Goods/61819840
1654,컴퓨터 입문/활용,어른을 위한 컴퓨터,스마트정보화3 윈도우10&인터넷&한글2010,576,"11,700","조준현,안영선 공저 | REXmedia(렉스미디어) | 2018년 06월",http://www.yes24.com/Product/Goods/61302487
1655,OS/데이터베이스,클라우드/빅데이터,개발자도 궁금한 IT 인프라,"2,778","18,000","정송화,김영선,전성민 저 | 제이펍 | 2018년 06월",http://www.yes24.com/Product/Goods/61270453
1656,OS/데이터베이스,클라우드/빅데이터,머신러닝 실무 프로젝트,642,"16,200","나카야마 신타,니시바야시 다카시 저/심효섭 역 | 한빛미디어 | 2018년 06월",http://www.yes24.com/Product/Goods/61198418
1657,프로그래밍 언어,JavaScript/CGI,자바스크립트로 서버와 클라이언트 구축하기,498,"22,500",박정태 저 | 정보문화사 | 2018년 06월,http://www.yes24.com/Product/Goods/61187306
1658,컴퓨터 입문/활용,어린이 컴퓨터,[컴놀] 컴퓨터야 놀자~ 코딩 첫걸음 1 엔트리,690,"9,000","이대명,코딩아카데미 공저 | 아카데미소프트 | 2018년 05월",http://www.yes24.com/Product/Goods/60896436
1659,웹사이트,HTML/JavaScript/CSS/jQuery,새로운 CSS 레이아웃,"1,590","15,300",레이철 앤드루 저/이미령 역 | 웹액츄얼리코리아 | 2020년 02월,http://www.yes24.com/Product/Goods/60715949
1660,프로그래밍 언어,파이썬,파이썬 GUI 프로그래밍 쿡북 2/e,"2,676","31,500",부르크하르트 메이어 저/김동호 역 | 에이콘출판사 | 2018년 04월,http://www.yes24.com/Product/Goods/59871444
1661,컴퓨터 입문/활용,어른을 위한 컴퓨터,한 권으로 그리는 컴퓨터과학 로드맵,"2,016","16,200",블라드스톤 페헤이라 필루 저/박연오 역 | 인사이트(insight) | 2018년 04월,http://www.yes24.com/Product/Goods/59654759
1662,그래픽/디자인/멀티미디어,그래픽툴/저작툴 기타,AUTODESK FUSION 360 3D 모델링 & 3D 프린팅 - 입문편 [최신 개정판],"2,532","25,200","노수황,이예진,유동욱,하영민 저 | 메카피아 | 2020년 01월",http://www.yes24.com/Product/Goods/59602838
1663,게임,게임 개발,게임 디자이너를 위한 문서 작성 기술,"1,614","14,400",주진영 저 | 성안당 | 2018년 03월,http://www.yes24.com/Product/Goods/59528148
1664,인터넷 비즈니스,국내도서,쇼핑몰 창업노트,"1,122","22,500",황윤정 저 | 성안당 | 2018년 04월,http://www.yes24.com/Product/Goods/59513136
1665,오피스 활용,MS PowerPoint(파워포인트),파워포인트 2016으로 발표하기,"1,464","8,100",장미희 저 | 교학사 | 2018년 04월,http://www.yes24.com/Product/Goods/59499323
1666,컴퓨터 입문/활용,어린이 컴퓨터,컴퓨터기초_컴퓨터영재만들기 (STEP2),690,"8,100",씨엔씨에듀 R&D팀 저 | 씨엔씨에듀 | 2018년 04월,http://www.yes24.com/Product/Goods/59494375
1667,프로그래밍 언어,프로그래밍 언어 기타,익스플로링 라즈베리 파이,348,"40,500",데릭 몰로이 저/최용 역 | 위키북스 | 2018년 04월,http://www.yes24.com/Product/Goods/59464350
1668,컴퓨터 입문/활용,어린이 컴퓨터,[컴놀] 컴퓨터야 놀자~ 한글 2010,"1,800","7,200",장민지 저 | 아카데미소프트 | 2018년 02월,http://www.yes24.com/Product/Goods/59099792
1669,그래픽/디자인/멀티미디어,그래픽툴/저작툴 기타,라이노 3D 5 + 정리노트,468,"25,200",김도엽 저 | 혜지원 | 2018년 02월,http://www.yes24.com/Product/Goods/59058879
1670,그래픽/디자인/멀티미디어,포토샵,로고를 활용한 디자인 실무 강의 with 일러스트레이터+포토샵,"1,884","22,500",장보경 저 | 한빛미디어 | 2018년 03월,http://www.yes24.com/Product/Goods/58954013
1671,그래픽/디자인/멀티미디어,AUTOCAD,AutoCAD를 이용한 전기 CAD,252,"24,000","박규홍,김규정,문은아,원우연 공저 | GS인터비전 | 2018년 02월",http://www.yes24.com/Product/Goods/58809012
1672,컴퓨터 공학,컴퓨터 교육,컴퓨터 사이언스 부트캠프 with 파이썬,906,"21,600",양태환 저 | 길벗 | 2018년 02월,http://www.yes24.com/Product/Goods/58552941
1673,네트워크/해킹/보안,보안/해킹,블록체인 무엇인가?,"4,449","13,500",다니엘 드레셔 저/이병욱 역 | 이지스퍼블리싱 | 2018년 02월,http://www.yes24.com/Product/Goods/58551591
1674,웹사이트,UI/UX,러닝 리액트,"1,077","25,200","알렉스 뱅크스,이브 포셀로 저/오현석 역 | 한빛미디어 | 2018년 02월",http://www.yes24.com/Product/Goods/58543289
1675,프로그래밍 언어,파이썬,파이썬으로 배우는 데이터 과학 입문과 실습,480,"24,300","데이비 실린,아르노 메이즈맨,모하메드 알리 저/최용 역 | 위키북스 | 2018년 02월",http://www.yes24.com/Product/Goods/58511072
1676,프로그래밍 언어,파이썬,컴퓨터 비전공자를 위한 파이썬을 활용한 기초컴퓨터프로그래밍,"1,422","24,000","유영환,권기덕,김성렬,이태훈 저 | 부산대학교출판부(PNU Press) | 2017년 08월",http://www.yes24.com/Product/Goods/58479239
1677,컴퓨터 공학,컴퓨터 교육,4차 산업혁명시대 컴퓨터과학개론,468,"25,000",박재년 저 | 21세기사 | 2018년 01월,http://www.yes24.com/Product/Goods/58307557
1678,컴퓨터 입문/활용,어린이 컴퓨터,창의력 컴퓨터교실 1 AI 인공지능 세상에 살다,510,"9,000",렉스기획팀 저 | REXmedia(렉스미디어) | 2018년 02월,http://www.yes24.com/Product/Goods/58263373
1679,OS/데이터베이스,클라우드/빅데이터,"데이터 분석, R고 싶니",228,"22,500",백종일 저 | 비제이퍼블릭(BJ퍼블릭) | 2018년 01월,http://www.yes24.com/Product/Goods/58186623
1680,컴퓨터 입문/활용,어린이 컴퓨터,영재스쿨 창의 코딩놀이 엔트리 2,"1,014","9,000","렉스수험서팀,송미순 공저 | REXmedia(렉스미디어) | 2018년 01월",http://www.yes24.com/Product/Goods/57961883
1681,프로그래밍 언어,C++,모던 C++ 입문,750,"30,600",피터 고츠슐링 저/옥찬호 역 | 길벗 | 2017년 12월,http://www.yes24.com/Product/Goods/57615943
1682,모바일 프로그래밍,안드로이드폰,단계별로 배우는 안드로이드 프로그래밍,648,"35,000",김선우 저 | 한빛아카데미 | 2017년 12월,http://www.yes24.com/Product/Goods/57540938
