,중분류,소분류,도서명,판매지수,가격,출판일,링크
975,컴퓨터 공학,마이크로 프로세서,아두이노 상상을 스케치하다,"1,575","27,000",허경용 저 | 제이펍 | 2014년 05월,http://www.yes24.com/Product/Goods/13198410
976,네트워크/해킹/보안,보안/해킹,해커와 화가,"3,540","16,200",폴 그레이엄 저/임백준 역 | 한빛미디어 | 2014년 01월,http://www.yes24.com/Product/Goods/11775130
977,프로그래밍 언어,프로그래밍 언어 기타,생각하는 프로그래밍,"3,192","19,800","존 벤틀리 저 / 윤성준,조상민 공역 | 인사이트(insight) | 2014년 01월",http://www.yes24.com/Product/Goods/11686227
978,컴퓨터 입문/활용,어른을 위한 컴퓨터,리눅스 커맨드라인 완벽 입문서,"1,698","28,800","윌리엄 E. 샤츠 주니어 저 / 이종우,정영신 공역 | 비제이퍼블릭(BJ퍼블릭) | 2013년 01월",http://www.yes24.com/Product/Goods/8208026
979,프로그래밍 언어,프로그래밍 교육,프로그래머로 사는 법,"2,664","22,500",샘 라이트스톤 저/서환수 역 | 한빛미디어 | 2012년 10월,http://www.yes24.com/Product/Goods/7537901
980,프로그래밍 언어,프로그래밍 언어 기타,읽기 좋은 코드가 좋은 코드다,"4,572","16,200","더스틴 보즈웰,트레버 파우커 공저 / 임백준 역 | 한빛미디어 | 2012년 04월",http://www.yes24.com/Product/Goods/6692314
981,컴퓨터 공학,자료구조/알고리즘,컴퓨터알고리즘,516,"19,000",김선경 등저 | 한산 | 2012년 03월,http://www.yes24.com/Product/Goods/6404556
982,일반,일반,OS? Oh Yes!,672,"19,000",김주균 저 | 휴먼싸이언스 | 2009년 08월,http://www.yes24.com/Product/Goods/3696547
983,그래픽/디자인/멀티미디어,AUTOCAD,캐드 도면 설계,"1,632","22,500",강윤정 저 | 디지털북스 | 2010년 01월,http://www.yes24.com/Product/Goods/3660423
984,프로그래밍 언어,자바,Head First Design Patterns,"6,021","25,200",에릭 프리먼 등저 / 서환수 역 | 한빛미디어 | 2005년 09월,http://www.yes24.com/Product/Goods/1778966
985,프로그래밍 언어,자바,프로그래머를 위한 JAVA 2,486,"39,000","최종명,최재영,유재우 공저 | 홍릉과학출판사 | 2015년 08월",http://www.yes24.com/Product/Goods/1443974
986,모바일/태블릿/SNS,유튜브,처음 만나는 루마퓨전,"3,642","21,600",이재면 저 | 비제이퍼블릭(BJ퍼블릭) | 2020년 06월,http://www.yes24.com/Product/Goods/90392277
987,OS/데이터베이스,클라우드/빅데이터,김기현의 자연어 처리 딥러닝 캠프 파이토치 편,"3,258","34,200",김기현 저 | 한빛미디어 | 2019년 07월,http://www.yes24.com/Product/Goods/74802622
988,게임,게임 개발,송쌤의 엔트리 게임 코딩 학교,"7,170","16,200",송상수 저 | 제이펍 | 2019년 05월,http://www.yes24.com/Product/Goods/73020506
989,OS/데이터베이스,클라우드/빅데이터,데이터 분석의 모든 것,762,"27,000","장원중,이정인 저 | 아이리포 | 2021년 02월",http://www.yes24.com/Product/Goods/97697901
990,컴퓨터 공학,인공지능,쉽게 따라하는 인공지능 FOR 클래스룸,"2,562","16,200","변문경,이정훈,강윤진,정선재,노희진,손미현,진성임,전수연,박찬 저 | 다빈치books | 2021년 03월",http://www.yes24.com/Product/Goods/97667686
991,네트워크/해킹/보안,보안/해킹,정보보안 1000제,864,"31,500","김정재,곽동훈 저 | 프리렉 | 2021년 02월",http://www.yes24.com/Product/Goods/97193673
992,프로그래밍 언어,C,ANSI C 프로그래밍,360,"32,000",E Balagurusamy 저 | 학산미디어 | 2021년 01월,http://www.yes24.com/Product/Goods/97175132
